Lon,Lat,SUBZONE_NAME,SUBZONE_CODE,PLN_AREA_NAME,PLN_AREA_CODE,REGION_NAME,REGION_CODE
103.8723516,1.288517387,MARINA EAST,MESZ01,MARINA EAST,ME,CENTRAL REGION,CR
103.8375004,1.294015854,INSTITUTION HILL,RVSZ05,RIVER VALLEY,RV,CENTRAL REGION,CR
103.8370641,1.291285964,ROBERTSON QUAY,SRSZ01,SINGAPORE RIVER,SR,CENTRAL REGION,CR
103.6986387,1.26253236,JURONG ISLAND AND BUKOM,WISZ01,WESTERN ISLANDS,WI,WEST REGION,WR
103.846053,1.294046391,FORT CANNING,MUSZ02,MUSEUM,MU,CENTRAL REGION,CR
103.8846765,1.292215914,MARINA EAST (MP),MPSZ05,MARINE PARADE,MP,CENTRAL REGION,CR
103.7248844,1.193338484,SUDONG,WISZ03,WESTERN ISLANDS,WI,WEST REGION,WR
103.7722767,1.201359243,SEMAKAU,WISZ02,WESTERN ISLANDS,WI,WEST REGION,WR
103.8368006,1.26530042,CITY TERMINALS,BMSZ17,BUKIT MERAH,BM,CENTRAL REGION,CR
103.84361,1.273717913,ANSON,DTSZ10,DOWNTOWN CORE,DT,CENTRAL REGION,CR
103.8587732,1.271251661,STRAITS VIEW,SVSZ01,STRAITS VIEW,SV,CENTRAL REGION,CR
103.8246028,1.274034808,TELOK BLANGAH RISE,BMSZ15,BUKIT MERAH,BM,CENTRAL REGION,CR
103.8458786,1.275884519,TANJONG PAGAR,DTSZ09,DOWNTOWN CORE,DT,CENTRAL REGION,CR
103.8363159,1.274949805,EVERTON PARK,BMSZ16,BUKIT MERAH,BM,CENTRAL REGION,CR
103.8204741,1.277381609,TELOK BLANGAH WAY,BMSZ14,BUKIT MERAH,BM,CENTRAL REGION,CR
103.8458267,1.279415182,MAXWELL,DTSZ07,DOWNTOWN CORE,DT,CENTRAL REGION,CR
103.8488651,1.278642608,CECIL,DTSZ08,DOWNTOWN CORE,DT,CENTRAL REGION,CR
103.8273508,1.278357271,KAMPONG TIONG BAHRU,BMSZ11,BUKIT MERAH,BM,CENTRAL REGION,CR
103.8088798,1.276654799,TELOK BLANGAH DRIVE,BMSZ13,BUKIT MERAH,BM,CENTRAL REGION,CR
103.7946153,1.277584987,PASIR PANJANG 2,QTSZ14,QUEENSTOWN,QT,CENTRAL REGION,CR
103.85242,1.275673659,CENTRAL SUBZONE,DTSZ11,DOWNTOWN CORE,DT,CENTRAL REGION,CR
103.8346414,1.279725237,SINGAPORE GENERAL HOSPITAL,BMSZ05,BUKIT MERAH,BM,CENTRAL REGION,CR
103.8085595,1.282222077,DEPOT ROAD,BMSZ12,BUKIT MERAH,BM,CENTRAL REGION,CR
103.8185897,1.282014214,BUKIT MERAH,BMSZ02,BUKIT MERAH,BM,CENTRAL REGION,CR
103.8436874,1.279969482,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
103.8486542,1.285276843,PHILLIP,DTSZ04,DOWNTOWN CORE,DT,CENTRAL REGION,CR
103.8510074,1.28372,RAFFLES PLACE,DTSZ05,DOWNTOWN CORE,DT,CENTRAL REGION,CR
103.8468833,1.28438643,CHINA SQUARE,OTSZ04,OUTRAM,OT,CENTRAL REGION,CR
103.8313928,1.283879531,TIONG BAHRU,BMSZ10,BUKIT MERAH,BM,CENTRAL REGION,CR
103.8585338,1.283334725,BAYFRONT SUBZONE,DTSZ12,DOWNTOWN CORE,DT,CENTRAL REGION,CR
103.8268264,1.284029905,TIONG BAHRU STATION,BMSZ04,BUKIT MERAH,BM,CENTRAL REGION,CR
103.8546994,1.285561906,CLIFFORD PIER,DTSZ06,DOWNTOWN CORE,DT,CENTRAL REGION,CR
