,Subzone,Subzone Latitude,Subzone Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,MARINA EAST,1.288517387,103.87235159999999,Kontiki,1.2947999449797183,103.86649969474998,American Restaurant
1,MARINA EAST,1.288517387,103.87235159999999,Pollen,1.284656127791163,103.86482300748612,French Restaurant
2,MARINA EAST,1.288517387,103.87235159999999,City Satay,1.2824615212312003,103.86869596228262,Satay Restaurant
3,MARINA EAST,1.288517387,103.87235159999999,McDonald's / McCafé,1.2827583556341235,103.86557179990676,Fast Food Restaurant
4,MARINA EAST,1.288517387,103.87235159999999,Satay By The Bay,1.2823887516376369,103.8687005147437,Food Court
5,MARINA EAST,1.288517387,103.87235159999999,Subway,1.2896283373690758,103.86355758256808,Sandwich Place
6,MARINA EAST,1.288517387,103.87235159999999,Children's Garden Cafe,1.2835621079740562,103.86703923693953,Café
7,MARINA EAST,1.288517387,103.87235159999999,Majestic Bay Seafood Restaurant,1.2844132636967307,103.86545915279028,Chinese Restaurant
8,MARINA EAST,1.288517387,103.87235159999999,Café Crema,1.2826382697607448,103.8656263345924,Café
9,MARINA EAST,1.288517387,103.87235159999999,Gallery Café,1.2804371481596035,103.87131347750788,Café
10,MARINA EAST,1.288517387,103.87235159999999,Sri Geylang Sate,1.282471,103.868869,Satay Restaurant
11,MARINA EAST,1.288517387,103.87235159999999,Boon Tat Barbeque Seafood,1.282489,103.868664,Seafood Restaurant
12,MARINA EAST,1.288517387,103.87235159999999,Huat Huat BBQ Chicken Wings,1.2823020147852024,103.86870964726148,BBQ Joint
13,MARINA EAST,1.288517387,103.87235159999999,Wholly Crab,1.2821800996374728,103.8687775965894,Seafood Restaurant
14,MARINA EAST,1.288517387,103.87235159999999,The Palms,1.295762517988651,103.87340955563506,Café
15,MARINA EAST,1.288517387,103.87235159999999,Bay Front Steamboat Buffet,1.2821126971864023,103.86876059824203,BBQ Joint
16,MARINA EAST,1.288517387,103.87235159999999,Marina BBQ Seafood,1.282150995762728,103.86857374870735,Seafood Restaurant
17,MARINA EAST,1.288517387,103.87235159999999,Roasted Chestnut Uncle,1.294999489406247,103.87609367237596,Food Truck
18,MARINA EAST,1.288517387,103.87235159999999,Fennel Cafe,1.284887,103.864703,Café
19,MARINA EAST,1.288517387,103.87235159999999,To Gather Cafe,1.2955226,103.87714,Café
20,MARINA EAST,1.288517387,103.87235159999999,Urban Beach Bar,1.2888451755729868,103.86364640543673,Café
21,MARINA EAST,1.288517387,103.87235159999999,Admiral Bar & Grill Singapore Flyer,1.288933,103.863587,BBQ Joint
22,MARINA EAST,1.288517387,103.87235159999999,Sky View Kitchen,1.289511,103.863439,Imperial Restaurant
23,MARINA EAST,1.288517387,103.87235159999999,Canopy Cafe,1.2928200704014032,103.87128391879041,Café
24,MARINA EAST,1.288517387,103.87235159999999,"Sembawang Eating House Seafood Restaurant ""Café Dining By The Barrage""",1.2801365869836976,103.87129534899199,Seafood Restaurant
25,INSTITUTION HILL,1.294015854,103.83750040000001,PS.Cafe,1.292076832556275,103.83784358703461,Café
26,INSTITUTION HILL,1.294015854,103.83750040000001,PS. Cafe Petit,1.2917237416005747,103.83782452833093,Pizza Place
27,INSTITUTION HILL,1.294015854,103.83750040000001,Nanjya Monjya,1.2902159907917148,103.83577398235951,Japanese Restaurant
28,INSTITUTION HILL,1.294015854,103.83750040000001,Yakiniku YAZAWA,1.291828,103.842172,Japanese Restaurant
29,INSTITUTION HILL,1.294015854,103.83750040000001,Bistecca Tuscan Steakhouse,1.2931490081590533,103.84145131531737,Steakhouse
30,INSTITUTION HILL,1.294015854,103.83750040000001,Grounded by CMCR,1.2914851491230257,103.83837314698361,Café
31,INSTITUTION HILL,1.294015854,103.83750040000001,Jypsy,1.291945403210137,103.83795699946901,Restaurant
32,INSTITUTION HILL,1.294015854,103.83750040000001,The English House by Marco Pierre White,1.293079742700301,103.84130090475082,English Restaurant
33,INSTITUTION HILL,1.294015854,103.83750040000001,Shabestan,1.2908710801858008,103.84077461606715,Persian Restaurant
34,INSTITUTION HILL,1.294015854,103.83750040000001,Three Buns Quayside,1.2904905109786917,103.83976138820961,Burger Joint
35,INSTITUTION HILL,1.294015854,103.83750040000001,Hachi Restaurant,1.2939955895229558,103.84198995614378,Japanese Restaurant
36,INSTITUTION HILL,1.294015854,103.83750040000001,SaladStop!,1.2939229289523693,103.83252033605135,Salad Place
37,INSTITUTION HILL,1.294015854,103.83750040000001,The Book Café,1.2910181659978366,103.83896523114004,Café
38,INSTITUTION HILL,1.294015854,103.83750040000001,Decker Barbecue,1.2904060061789078,103.83896059318838,BBQ Joint
39,INSTITUTION HILL,1.294015854,103.83750040000001,FOOK KIN 福劲,1.2981569989818154,103.83868803661022,BBQ Joint
40,INSTITUTION HILL,1.294015854,103.83750040000001,Okinawan Diner Nirai-Kanai,1.2936482261421764,103.83222699165344,Japanese Restaurant
41,INSTITUTION HILL,1.294015854,103.83750040000001,Mikoto,1.289894150695879,103.83947811103464,Japanese Restaurant
42,INSTITUTION HILL,1.294015854,103.83750040000001,Dabbawalla,1.290127,103.839364,Indian Restaurant
43,INSTITUTION HILL,1.294015854,103.83750040000001,Wolfgang's Steakhouse,1.2896167733886907,103.83852168764707,Steakhouse
44,INSTITUTION HILL,1.294015854,103.83750040000001,Rosso vino,1.290887356591298,103.84185892179642,Italian Restaurant
45,INSTITUTION HILL,1.294015854,103.83750040000001,Red House Seafood Restaurant,1.2896983362024135,103.83908808231352,Seafood Restaurant
46,INSTITUTION HILL,1.294015854,103.83750040000001,DOP Mozzarella Bar,1.289902736631898,103.83943435609072,Italian Restaurant
47,INSTITUTION HILL,1.294015854,103.83750040000001,Peperoni Pizzeria,1.2927525262201378,103.83140198953843,Pizza Place
